PREVIEW DIAGNOSTIC -- NOT A TEST
scope,source,field,kind,shape,n_distinct,value_set,note,polarity_like,why
"per-type","json:nodes","activation","json field","(65,)",1,"['relu']","",False,"constant 'relu' for all 65 -- not a label, no variation"
"per-type","json:nodes","bias","json field","(65,)",1,"[3.5]","",False,"constant 3.5 for all 65 -- not read by the network (see the genome note §2); not a contrast preference"
"per-type","json:nodes","bias_fixed","json field","(65,)",1,"[False]","",False,"constant False for all 65"
"per-type","json:nodes","name","json field","(65,)",65,"65 distinct, e.g. ['Am', 'C2', 'C3', 'CT1(Lo1)', 'CT1(M10)']","",False,"the type name"
"per-type","json:nodes","pattern","json field","(65,)",2,"['['stride', [1, 1]]', '['stride', [3, 2]]']","",False,"['stride',[1,1]] / ['stride',[3,2]] -- a tiling production, not a label"
"per-type","json:nodes","time_constant","json field","(65,)",1,"[None]","",False,"None for all 65"
"per-type","json:nodes","time_constant_fixed","json field","(65,)",1,"[False]","",False,"constant False for all 65"
"per-edge","json:edges","alpha","json field","(605,)",2,"[-1, 1]","",False,"per-EDGE quantity; alpha/sign is the excitatory/inhibitory sign of a source type's synapses -- explicitly NOT ON/OFF polarity"
"per-edge","json:edges","alpha_fixed","json field","(605,)",2,"[False, True]","",False,"per-EDGE quantity; alpha/sign is the excitatory/inhibitory sign of a source type's synapses -- explicitly NOT ON/OFF polarity"
"per-edge","json:edges","alpha_references","list of citation keys","(605,)",3,"['len=0', 'len=1', 'len=2']","432 citation slots total",False,"per-EDGE quantity; alpha/sign is the excitatory/inhibitory sign of a source type's synapses -- explicitly NOT ON/OFF polarity"
"per-edge","json:edges","edge_type","json field","(605,)",1,"['chem']","",False,"per-edge, not per-type"
"per-edge","json:edges","lambda_mult","json field","(605,)",528,"528 distinct, e.g. [0.7071067811865476, 0.7071067811865477, 0.7741750001002972, 0.8466664628536523, 0.8499370483048785]","",False,"per-edge, not per-type"
"per-edge","json:edges","offsets","list of [[du,dv],n_syn]","(605,)",24,"24 distinct, e.g. ['len=1', 'len=10', 'len=11', 'len=12', 'len=13']","2140 offset rows total",False,"per-edge, not per-type"
"per-edge","json:edges","src","json field","(605,)",63,"63 distinct, e.g. ['Am', 'C2', 'C3', 'CT1(Lo1)', 'CT1(M10)']","",False,"per-edge, not per-type"
"per-edge","json:edges","tar","json field","(605,)",65,"65 distinct, e.g. ['Am', 'C2', 'C3', 'CT1(Lo1)', 'CT1(M10)']","",False,"per-edge, not per-type"
"per-edge","json:edges","time_constant","json field","(605,)",1,"[None]","",False,"per-edge, not per-type"
"per-edge","json:edges","time_constant_fixed","json field","(605,)",1,"[False]","",False,"per-edge, not per-type"
"per-type","json:root","receptors","list of type names","(0,)",0,"[]","",False,"empty"
"per-type","json:root","input_units","list of type names","(8,)",8,"['R1', 'R2', 'R3', 'R4', 'R5', 'R6', 'R7', 'R8']","",False,"8 photoreceptors -- anatomical entry point, not ON/OFF"
"per-type","json:root","output_units","list of type names","(34,)",20,"20 distinct, e.g. ['T1', 'T2', 'T2a', 'T3', 'T4a']","",False,"34 types -- anatomical role, not ON/OFF"
"per-cell","h5:nodes","index","int64","(45669,)",45669,"45669 distinct, e.g. [0, 1, 10, 100, 1000]","",False,"node index"
"per-type","h5:nodes","layer_index/","directory","(66 files)",0,"[]","one file per cell type",False,"per-type node index lists"
"per-cell","h5:nodes","role","|S12","(45669,)",3,"['input', 'intermediate', 'output']","",False,"input/intermediate/output -- same anatomical stage axis as layout"
"per-cell","h5:nodes","type","|S8","(45669,)",65,"65 distinct, e.g. ['Am', 'C2', 'C3', 'CT1(Lo1)', 'CT1(M10)']","",False,"the type name per cell"
"per-cell","h5:nodes","u","int32","(45669,)",31,"31 distinct, e.g. [-1, -10, -11, -12, -13]","",False,"hex coordinate"
"per-cell","h5:nodes","v","int32","(45669,)",31,"31 distinct, e.g. [-1, -10, -11, -12, -13]","",False,"hex coordinate"
"per-edge-instance","h5:edges","du","int32","(1513231,)",13,"13 distinct, e.g. [-1, -2, -3, -4, -5]","",False,"per-edge, not per-type"
