PREVIEW DIAGNOSTIC -- NOT A TEST
# script_sha256=152aa643660cf6ad7eb7706d540ce29ff8cdfc5a23ed14d28c3ac1048b27c96d
# disposition_sha256=db3e00857ccafda39eeed77a4bb210f16e6d539ad2d6953809458f4679a17085
# bank_polarity_like_value is empty for every row: see partition.json question (c).
type_name,node_order_index,polarity_source,in_on_pathway,in_off_pathway,n_out_entries,n_exc,n_inh,n_alpha_fixed,n_alpha_references,bank_polarity_like_value,bank_layout,bank_role,has_direct_L1_input_DESCRIPTIVE,has_direct_L2_input_DESCRIPTIVE
R1,0,1,False,False,5,0,5,5,5,,retina,input,False,True
R2,1,1,False,False,5,0,5,5,5,,retina,input,False,True
R3,2,1,False,False,5,0,5,5,5,,retina,input,False,False
R4,3,1,False,False,5,0,5,5,5,,retina,input,False,False
R5,4,1,False,False,5,0,5,5,5,,retina,input,False,False
R6,5,1,False,False,5,0,5,5,5,,retina,input,False,False
R7,6,1,False,False,5,0,5,5,5,,retina,input,False,False
R8,7,1,False,False,9,4,5,9,9,,retina,input,False,False
L1,8,-1,True,False,6,0,6,6,6,,intermediate,intermediate,False,True
L2,9,-1,False,True,16,16,0,16,16,,intermediate,intermediate,False,False
L3,10,-1,True,True,16,16,0,16,16,,intermediate,intermediate,False,False
L4,11,-1,False,True,18,18,0,0,0,,intermediate,intermediate,False,True
L5,12,1,True,False,17,17,0,0,0,,intermediate,intermediate,True,True
Lawf1,13,0,False,False,2,2,0,0,0,,intermediate,intermediate,False,False
Lawf2,14,0,False,False,3,3,0,0,0,,intermediate,intermediate,True,True
Am,15,0,False,False,11,2,9,2,11,,intermediate,intermediate,False,False
C2,16,0,False,False,14,2,12,13,25,,intermediate,intermediate,True,False
C3,17,1,False,False,22,2,20,21,41,,intermediate,intermediate,True,True
CT1(Lo1),18,-1,False,True,6,0,6,6,6,,intermediate,intermediate,False,False
CT1(M10),19,1,True,False,6,0,6,6,6,,intermediate,intermediate,False,False
Mi1,20,1,True,False,29,29,0,0,29,,intermediate,intermediate,True,True
Mi2,21,0,False,False,6,0,6,6,6,,intermediate,intermediate,False,False
Mi3,22,0,False,False,2,0,2,2,2,,intermediate,intermediate,False,False
Mi4,23,1,True,False,27,0,27,27,54,,intermediate,intermediate,False,True
Mi9,24,-1,True,False,25,0,25,25,50,,intermediate,intermediate,False,True
Mi10,25,0,False,False,11,0,11,11,11,,intermediate,intermediate,False,False
Mi11,26,0,False,False,0,0,0,0,0,,intermediate,intermediate,False,False
Mi12,27,0,False,False,6,0,6,0,6,,intermediate,intermediate,False,False
Mi13,28,0,False,False,8,0,8,8,8,,intermediate,intermediate,False,False
Mi14,29,0,False,False,3,0,3,0,3,,intermediate,intermediate,False,False
Mi15,30,0,False,False,5,5,0,0,5,,intermediate,intermediate,False,False
T1,31,0,False,False,3,3,0,0,0,,output,output,False,True
T2,32,0,False,False,6,6,0,0,0,,output,output,False,False
T2a,33,0,False,False,9,9,0,0,0,,output,output,False,False
T3,34,0,False,False,3,3,0,0,0,,output,output,False,False
T4a,35,1,True,False,9,9,0,1,1,,output,output,False,False
T4b,36,1,True,False,6,6,0,1,1,,output,output,False,False
T4c,37,1,True,False,7,7,0,1,1,,output,output,False,False
T4d,38,1,True,False,6,6,0,1,1,,output,output,False,False
T5a,39,-1,False,True,7,7,0,2,2,,output,output,False,False
T5b,40,-1,False,True,8,8,0,2,2,,output,output,False,False
T5c,41,-1,False,True,7,7,0,1,1,,output,output,False,False
T5d,42,-1,False,True,6,6,0,1,1,,output,output,False,False
Tm1,43,-1,False,True,28,28,0,4,4,,output,output,False,True
Tm2,44,-1,False,True,22,22,0,4,4,,output,output,False,True
Tm3,45,1,True,False,22,22,0,0,0,,output,output,True,False
Tm4,46,-1,False,True,22,22,0,4,4,,output,output,False,True
Tm5Y,47,0,False,False,5,5,0,0,0,,output,output,False,False
Tm5a,48,0,False,False,2,2,0,0,4,,output,output,False,False
Tm5b,49,0,False,False,5,5,0,0,10,,output,output,False,False
Tm5c,50,0,False,False,5,0,5,0,10,,output,output,False,False
Tm9,51,-1,False,True,13,13,0,4,4,,output,output,False,False
Tm16,52,0,False,False,15,15,0,0,0,,output,output,False,False
Tm20,53,0,False,False,5,5,0,0,0,,output,output,False,True
Tm28,54,0,False,False,3,3,0,0,0,,output,output,False,False
Tm30,55,0,False,False,0,0,0,0,0,,output,output,False,False
TmY3,56,0,False,False,8,8,0,0,0,,output,output,False,True
TmY4,57,0,False,False,9,9,0,1,1,,output,output,False,False
TmY5a,58,0,False,False,10,0,10,10,10,,output,output,False,False
TmY9,59,0,False,False,3,3,0,0,0,,output,output,False,False
TmY10,60,0,False,False,10,10,0,0,0,,output,output,False,False
TmY13,61,0,False,False,5,5,0,0,0,,output,output,False,False
TmY14,62,0,False,False,6,0,6,6,6,,output,output,False,False
TmY15,63,0,False,False,20,0,20,20,20,,output,output,False,False
TmY18,64,0,False,False,7,7,0,0,0,,output,output,False,False
