# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=eea3815e8b0b79290d77b22dc3a5085bd8f3ee8ed4299ea1d449bc02b475f4c6; see bank.meta.json; birth_id=sha256('cs-birth-v1|type|NAME' or 'cs-birth-v1|pair|SRC->TAR')[:12]; next_display_no=671; rule=REGISTRY.md
birth_id,display_no,kind,birth_key,generation_born,parent_ids,src_birth_id,tar_birth_id,expressed_in_compiled_bank,content_sha256
ae7eec9cc6aa,1,type,type:Am,0,,,,True,ac759916c427dc262d94419f21669bf4e88dced1b1286bbdecef08fb10effbb8
ac7377b4f393,2,type,type:C2,0,,,,True,f732f5b63d20ff93d0964fa363815aaffdfdbe6e439a659022a7ab133b86bddf
6182a4f16e6d,3,type,type:C3,0,,,,True,a7ffdd1d380499eb5406175622a62f78511f3dd960212826bb71ec915a7ea670
7c280b5b9f34,4,type,type:CT1(Lo1),0,,,,True,38475c1e4bce927863cdf23f6d3a5ff493a0c7518f9d9830fe9c3360283f3a55
63667a4a1a53,5,type,type:CT1(M10),0,,,,True,5f3caceaa9b6c5276eda2134e752b6f160391d016c9c4f3f2deb90b1cef72f42
ad5110ebac00,6,type,type:L1,0,,,,True,e8ee02dc055594a54b680f1c49ad85c733bf3f7b7492c05998ecafd5bb2f1e3e
36f25ce16c8f,7,type,type:L2,0,,,,True,ba099e2d97ed2e40824215aee5491085ff990bd315cf679cc0a92dfe776531ee
fd5e84317740,8,type,type:L3,0,,,,True,84aac79398700d5befdc02ac8ab12e07767bec3f765adb17b048a0cda6ac4f79
7c19534e0d84,9,type,type:L4,0,,,,True,48fd10c445ada7175c0a0749ea79a8b5d4c5d04dac0c4819affff0a068d41a16
cc98a8db805e,10,type,type:L5,0,,,,True,dedcc968f4e7e723244ab82f1f5a0c5f1e7b12f68ba6896c1da77305eb8a7194
