# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=eea3815e8b0b79290d77b22dc3a5085bd8f3ee8ed4299ea1d449bc02b475f4c6; see bank.meta.json
pair_birth_id,src,tar,du,dv,n_syn,n_syn_json,sign,provenance,json_index,json_offset_order
c42c418fb266,R1,L1,0,0,40.0,40,-1,in_json,0,0
44aea3d9cfbe,R1,L2,0,0,46.0,46,-1,in_json,1,0
a583aac394d3,R1,L3,0,0,11.0,11,-1,in_json,2,0
ec21a8d3009b,R1,Am,0,0,36.0,36,-1,in_json,3,0
78535483bdbc,R1,T1,0,0,2.0,2,-1,in_json,4,0
0bf7c7691c4f,R2,L1,0,0,43.0,43,-1,in_json,5,0
ebdf96e134ed,R2,L2,0,0,45.0,45,-1,in_json,6,0
8994c2e7c25d,R2,L3,0,0,10.0,10,-1,in_json,7,0
728086ffa013,R2,Am,0,0,39.0,39,-1,in_json,8,0
db30ad4318e2,R2,T1,0,0,2.0,2,-1,in_json,9,0
edfe92c65e69,R3,L1,0,0,37.0,37,-1,in_json,10,0
b9851ea9bbe9,R3,L2,0,0,39.0,39,-1,in_json,11,0
ed306f2ad2d5,R3,L3,0,0,4.0,4,-1,in_json,12,0
7eb4a49eaae9,R3,Am,0,0,40.0,40,-1,in_json,13,0
2235189205e6,R3,T1,0,0,2.0,2,-1,in_json,14,0
5d236157c1b2,R4,L1,0,0,38.0,38,-1,in_json,15,0
0ecd5ae66970,R4,L2,0,0,41.0,41,-1,in_json,16,0
40239835a32a,R4,L3,0,0,8.0,8,-1,in_json,17,0
403330e5f4a3,R4,Am,0,0,37.0,37,-1,in_json,18,0
28c2310e5695,R4,T1,0,0,2.0,2,-1,in_json,19,0
f4b7e8b5b79d,R5,L1,0,0,38.0,38,-1,in_json,20,0
c6f20de835f7,R5,L2,0,0,39.0,39,-1,in_json,21,0
ccf7870f21fd,R5,L3,0,0,6.0,6,-1,in_json,22,0
838f7a38c09a,R5,Am,0,0,35.0,35,-1,in_json,23,0
cfb9d9a3f35e,R5,T1,0,0,2.0,2,-1,in_json,24,0
8b350d106df3,R6,L1,0,0,45.0,45,-1,in_json,25,0
ea27863d1ed3,R6,L2,0,0,47.0,47,-1,in_json,26,0
5fa6d5d417d4,R6,L3,0,0,12.0,12,-1,in_json,27,0
6c67303d7e65,R6,Am,0,0,40.0,40,-1,in_json,28,0
892896247daf,R6,T1,0,0,2.0,2,-1,in_json,29,0
1e0c4886186a,R7,R8,0,0,1.2999999523162842,1.3,-1,in_json,30,0
59c13a1b0910,R7,Mi9,0,0,1.5833333730697632,1.5833333333333333,-1,in_json,31,0
728b11d470bc,R7,Mi15,0,0,1.25,1.25,-1,in_json,32,0
8c72da2dd2aa,R7,Tm5a,0,0,12.571428298950195,12.571428571428571,-1,in_json,33,0
7d8f2e7b5d1b,R7,Tm5b,-1,1,1.6666666269302368,1.6666666666666667,-1,in_json,34,0
7d8f2e7b5d1b,R7,Tm5b,0,-1,2.1666667461395264,2.1666666666666665,-1,in_json,34,1
7d8f2e7b5d1b,R7,Tm5b,1,-1,1.0,1,-1,in_json,34,2
7d8f2e7b5d1b,R7,Tm5b,0,0,7.75,7.75,-1,in_json,34,3
28819197f736,R8,R7,0,0,18.299999237060547,18.3,-1,in_json,35,0
69803429215b,R8,L1,0,0,5.099999904632568,5.1,-1,in_json,36,0
d100d8cc4342,R8,L3,0,0,1.2999999523162842,1.3,-1,in_json,37,0
46068a920c62,R8,Mi1,0,0,11.399999618530273,11.4,1,in_json,38,0
d48de603da19,R8,Mi4,0,0,16.299999237060547,16.3,1,in_json,39,0
6c25dde21013,R8,Mi9,0,0,2.5999999046325684,2.6,1,in_json,40,0
04e378cd90e8,R8,Mi15,0,-1,1.5,1.5,1,in_json,41,0
04e378cd90e8,R8,Mi15,1,-1,3.0,3,1,in_json,41,1
04e378cd90e8,R8,Mi15,0,0,8.0,8,1,in_json,41,2
6db500031370,R8,Tm5c,0,1,1.3333333730697632,1.3333333333333333,-1,in_json,42,0
6db500031370,R8,Tm5c,0,0,7.0,7,-1,in_json,42,1
0d68c573e6c2,R8,Tm20,0,0,12.777777671813965,12.777777777777779,-1,in_json,43,0
6aff5c889774,L1,L5,0,0,88.76923370361328,88.76923076923077,-1,in_json,44,0
e85b577b0950,L1,Lawf2,0,1,5.0,5,-1,in_json,45,0
e85b577b0950,L1,Lawf2,-1,1,5.0,5,-1,in_json,45,1
e85b577b0950,L1,Lawf2,0,0,5.0,5,-1,in_json,45,2
e85b577b0950,L1,Lawf2,-2,1,5.0,5,-1,in_json,45,3
e85b577b0950,L1,Lawf2,-1,0,5.0,5,-1,in_json,45,4
e85b577b0950,L1,Lawf2,-2,0,5.0,5,-1,in_json,45,5
e85b577b0950,L1,Lawf2,-1,2,5.0,5,-1,in_json,45,6
e85b577b0950,L1,Lawf2,-2,2,5.0,5,-1,in_json,45,7
e85b577b0950,L1,Lawf2,2,-1,5.0,5,-1,in_json,45,8
e85b577b0950,L1,Lawf2,2,-2,5.0,5,-1,in_json,45,9
e85b577b0950,L1,Lawf2,2,0,5.0,5,-1,in_json,45,10
e85b577b0950,L1,Lawf2,1,1,5.0,5,-1,in_json,45,11
e85b577b0950,L1,Lawf2,1,-2,5.0,5,-1,in_json,45,12
e85b577b0950,L1,Lawf2,0,-2,5.0,5,-1,in_json,45,13
e85b577b0950,L1,Lawf2,-1,-1,5.0,5,-1,in_json,45,14
e85b577b0950,L1,Lawf2,0,-1,5.0,5,-1,in_json,45,15
e85b577b0950,L1,Lawf2,1,0,5.0,5,-1,in_json,45,16
e85b577b0950,L1,Lawf2,1,-1,5.0,5,-1,in_json,45,17
e85b577b0950,L1,Lawf2,0,2,5.0,5,-1,in_json,45,18
9542b3744362,L1,C2,0,0,41.272727966308594,41.27272727272727,-1,in_json,46,0
cd084e808448,L1,C3,0,0,73.875,73.875,-1,in_json,47,0
ea91821cd572,L1,Mi1,0,0,136.2857208251953,136.28571428571428,-1,in_json,48,0
2fdbc141abac,L1,Tm3,-1,0,4.375,4.375,-1,in_json,49,0
