# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=fb2303d241ed0966033b63a3d9f9b64ec1e47cea5376932360b8cfb96ae93943; see bank.meta.json
json_index,birth_id,src,tar,alpha,alpha_fixed,alpha_references,lambda_mult,edge_type,n_offsets_json,n_synapses_json_total,instantiated,n_offsets_compiled,n_offsets_hull_filled,n_offsets_dropped,n_synapses_compiled_total,note
0,326,R1,L1,-1,True,Hardie1989,5.859477042231124,chem,1,40.0,True,1,0,0,40.0,
1,327,R1,L2,-1,True,Hardie1989,5.859477042231124,chem,1,46.0,True,1,0,0,46.0,
2,328,R1,L3,-1,True,Hardie1989,5.859477042231124,chem,1,11.0,True,1,0,0,11.0,
3,325,R1,Am,-1,True,Hardie1989,5.859477042231124,chem,1,36.0,True,1,0,0,36.0,
4,329,R1,T1,-1,True,Hardie1989,5.859477042231124,chem,1,2.0,True,1,0,0,2.0,
5,331,R2,L1,-1,True,Hardie1989,5.859477042231124,chem,1,43.0,True,1,0,0,43.0,
6,332,R2,L2,-1,True,Hardie1989,5.859477042231124,chem,1,45.0,True,1,0,0,45.0,
7,333,R2,L3,-1,True,Hardie1989,5.859477042231124,chem,1,10.0,True,1,0,0,10.0,
8,330,R2,Am,-1,True,Hardie1989,5.859477042231124,chem,1,39.0,True,1,0,0,39.0,
9,334,R2,T1,-1,True,Hardie1989,5.859477042231124,chem,1,2.0,True,1,0,0,2.0,
10,336,R3,L1,-1,True,Hardie1989,5.859477042231124,chem,1,37.0,True,1,0,0,37.0,
11,337,R3,L2,-1,True,Hardie1989,5.859477042231124,chem,1,39.0,True,1,0,0,39.0,
12,338,R3,L3,-1,True,Hardie1989,5.859477042231124,chem,1,4.0,True,1,0,0,4.0,
13,335,R3,Am,-1,True,Hardie1989,5.859477042231124,chem,1,40.0,True,1,0,0,40.0,
14,339,R3,T1,-1,True,Hardie1989,5.859477042231124,chem,1,2.0,True,1,0,0,2.0,
15,341,R4,L1,-1,True,Hardie1989,5.859477042231124,chem,1,38.0,True,1,0,0,38.0,
16,342,R4,L2,-1,True,Hardie1989,5.859477042231124,chem,1,41.0,True,1,0,0,41.0,
17,343,R4,L3,-1,True,Hardie1989,5.859477042231124,chem,1,8.0,True,1,0,0,8.0,
18,340,R4,Am,-1,True,Hardie1989,5.859477042231124,chem,1,37.0,True,1,0,0,37.0,
19,344,R4,T1,-1,True,Hardie1989,5.859477042231124,chem,1,2.0,True,1,0,0,2.0,
20,346,R5,L1,-1,True,Hardie1989,5.859477042231124,chem,1,38.0,True,1,0,0,38.0,
21,347,R5,L2,-1,True,Hardie1989,5.859477042231124,chem,1,39.0,True,1,0,0,39.0,
22,348,R5,L3,-1,True,Hardie1989,5.859477042231124,chem,1,6.0,True,1,0,0,6.0,
23,345,R5,Am,-1,True,Hardie1989,5.859477042231124,chem,1,35.0,True,1,0,0,35.0,
