# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=eea3815e8b0b79290d77b22dc3a5085bd8f3ee8ed4299ea1d449bc02b475f4c6; see bank.meta.json
node_order_index,type_name,birth_id,json_index,pattern_kind,stride_u,stride_v,role,layout,in_input_units,in_output_units,n_out_entries,n_in_entries,n_cells_extent15,n_cells_extent5,central_cells_index_extent15
0,R1,9654b247b494,0,stride,1,1,input,retina,True,False,5,3,721,91,360
1,R2,b075082bb026,1,stride,1,1,input,retina,True,False,5,3,721,91,1081
2,R3,a9358d78ca90,2,stride,1,1,input,retina,True,False,5,2,721,91,1802
3,R4,d54d0db004dc,3,stride,1,1,input,retina,True,False,5,2,721,91,2523
4,R5,bf135de1db2a,4,stride,1,1,input,retina,True,False,5,2,721,91,3244
5,R6,ef2dad65a896,5,stride,1,1,input,retina,True,False,5,1,721,91,3965
6,R7,ee8007a1d4ca,6,stride,1,1,input,retina,True,False,5,1,721,91,4686
7,R8,8c5b077524c1,7,stride,1,1,input,retina,True,False,9,1,721,91,5407
8,L1,ad5110ebac00,8,stride,1,1,intermediate,intermediate,False,False,6,14,721,91,6128
9,L2,36f25ce16c8f,9,stride,1,1,intermediate,intermediate,False,False,16,15,721,91,6849
10,L3,fd5e84317740,10,stride,1,1,intermediate,intermediate,False,False,16,13,721,91,7570
11,L4,7c19534e0d84,11,stride,1,1,intermediate,intermediate,False,False,18,4,721,91,8291
12,L5,cc98a8db805e,12,stride,1,1,intermediate,intermediate,False,False,17,11,721,91,9012
13,Lawf1,2627beca1340,13,stride,3,2,intermediate,intermediate,False,False,2,7,123,13,9434
14,Lawf2,3a1e8d7d01c3,14,stride,3,2,intermediate,intermediate,False,False,3,10,123,13,9557
15,Am,ae7eec9cc6aa,15,stride,1,1,intermediate,intermediate,False,False,11,10,721,91,9979
16,C2,ac7377b4f393,16,stride,1,1,intermediate,intermediate,False,False,14,4,721,91,10700
17,C3,6182a4f16e6d,17,stride,1,1,intermediate,intermediate,False,False,22,15,721,91,11421
18,CT1(Lo1),7c280b5b9f34,18,stride,1,1,intermediate,intermediate,False,False,6,7,721,91,12142
19,CT1(M10),63667a4a1a53,19,stride,1,1,intermediate,intermediate,False,False,6,7,721,91,12863
20,Mi1,af1ee12c7a13,20,stride,1,1,intermediate,intermediate,False,False,29,17,721,91,13584
21,Mi2,8d98b9eb6175,21,stride,1,1,intermediate,intermediate,False,False,6,6,721,91,14305
22,Mi3,0172ab6332cf,22,stride,1,1,intermediate,intermediate,False,False,2,3,721,91,15026
23,Mi4,7c9f2d10b0f7,23,stride,1,1,intermediate,intermediate,False,False,27,17,721,91,15747
24,Mi9,760f78ba3287,24,stride,1,1,intermediate,intermediate,False,False,25,19,721,91,16468
25,Mi10,59362ec08e0b,25,stride,1,1,intermediate,intermediate,False,False,11,6,721,91,17189
26,Mi11,f8c7207459cd,26,stride,1,1,intermediate,intermediate,False,False,0,1,721,91,17910
27,Mi12,22599a5bd694,27,stride,1,1,intermediate,intermediate,False,False,6,5,721,91,18631
28,Mi13,7fd7d345df8e,28,stride,1,1,intermediate,intermediate,False,False,8,7,721,91,19352
29,Mi14,b33da6e1384a,29,stride,1,1,intermediate,intermediate,False,False,3,4,721,91,20073
30,Mi15,4dd1eb26b0df,30,stride,1,1,intermediate,intermediate,False,False,5,8,721,91,20794
31,T1,7fccce4faa2f,31,stride,1,1,output,output,False,True,3,13,721,91,21515
32,T2,2c81c87fcf2c,32,stride,1,1,output,output,False,True,6,24,721,91,22236
33,T2a,e4707238632a,33,stride,1,1,output,output,False,True,9,11,721,91,22957
34,T3,3b9aa8bb490c,34,stride,1,1,output,output,False,True,3,6,721,91,23678
35,T4a,a722a78be07c,35,stride,1,1,output,output,False,True,9,12,721,91,24399
36,T4b,8dac2399d9d3,36,stride,1,1,output,output,False,True,6,10,721,91,25120
37,T4c,3a2a1325fb93,37,stride,1,1,output,output,False,True,7,12,721,91,25841
38,T4d,0645a54521a8,38,stride,1,1,output,output,False,True,6,10,721,91,26562
39,T5a,9fd1579bc37e,39,stride,1,1,output,output,False,True,7,8,721,91,27283
40,T5b,3c304e466112,40,stride,1,1,output,output,False,True,8,9,721,91,28004
41,T5c,4236c6342cc5,41,stride,1,1,output,output,False,True,7,8,721,91,28725
42,T5d,f0bbaae7f4af,42,stride,1,1,output,output,False,True,6,10,721,91,29446
