bank,seed,kind,existence,offset,counts,sign,existence_fold0,existence_fold1,existence_fold2,existence_fold3,existence_fold4,existence_fold5,existence_fold6,existence_fold7,existence_fold8,existence_fold9
real,,real,0.028150051052145946,0.0,0.0,0.0,0.03137724015865673,0.038991515482638184,0.06004158806586002,0.023221726786632924,0.009715134442284334,0.03946730931478343,0.018344089089950333,0.037686973220001085,0.00958574288837144,0.013069191072280995
shuffle0,0,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle1,1,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle2,2,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle3,3,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle4,4,shuffle,-0.002343798209038983,0.0,0.0,0.0,0.0,0.0,-0.015148623144881357,0.0,0.0,0.0,0.0,0.0,0.0,-0.008289358945508474
shuffle5,5,shuffle,-0.0005835244310879783,0.0,0.0,0.0,0.0,0.0,0.0,-0.005835244310879784,0.0,0.0,0.0,0.0,0.0,0.0
shuffle6,6,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle7,7,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle8,8,shuffle,-0.001208201965553718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01208201965553718,0.0
shuffle9,9,shuffle,-0.0006177886817543387,0.0,0.0,0.0,0.0,0.0,-0.006177886817543388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle10,10,shuffle,-0.0019312838201546224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0057051392688545755,0.0,0.0,0.0,-0.013607698932691648
shuffle11,11,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle12,12,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle13,13,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle14,14,shuffle,-0.0010529865423845874,0.0,0.0,0.0,0.0,0.0,0.0,-0.007114382081300219,0.0,-0.0034154833425456554,0.0,0.0,0.0,0.0
shuffle15,15,shuffle,-0.0006206682272202446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006206682272202446,0.0,0.0,0.0,0.0
shuffle16,16,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle17,17,shuffle,-0.0009759279852736502,0.0,0.0,0.0,0.0,0.0,-0.009759279852736502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle18,18,shuffle,-0.0005915876685697264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00352262338446907,-0.002393253301228193,0.0,0.0
shuffle19,19,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle20,20,shuffle,-0.001219244255468488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006081215794790429,-0.00611122675989445
shuffle21,21,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle22,22,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle23,23,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle24,24,shuffle,-0.001484850178095093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014848501780950929,0.0,0.0,0.0,0.0
shuffle25,25,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle26,26,shuffle,-0.0010037363955494427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010037363955494427
shuffle27,27,shuffle,-0.0011757288908503416,0.0,0.0,0.0,-0.011757288908503416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle28,28,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle29,29,shuffle,-0.0006843462365926145,0.0,0.0,0.0,-0.005182080311619708,-0.0016613820543064373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle30,30,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle31,31,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle32,32,shuffle,-0.0006803014261097196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019104235805873504,0.0,-0.004892590680509845,0.0
shuffle33,33,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle34,34,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle35,35,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle36,36,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle37,37,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle38,38,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle39,39,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle40,40,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle41,41,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle42,42,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle43,43,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle44,44,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle45,45,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle46,46,shuffle,-0.0011814364454913074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011814364454913073,0.0,0.0,0.0,0.0
shuffle47,47,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle48,48,shuffle,-0.0009778176379275083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009778176379275083,0.0,0.0
shuffle49,49,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle50,50,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle51,51,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle52,52,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle53,53,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
