bank,seed,kind,rank,existence,offset,counts,sign,bf_lambda_per_fold
real,,real,3,0.021426899759441332,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 1.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle0,0,shuffle,3,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle1,1,shuffle,3,-0.003045997992566918,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle2,2,shuffle,3,-0.0015567866388351392,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle3,3,shuffle,3,-0.0007030214173666671,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 100.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0]"
shuffle4,4,shuffle,3,-0.0011996513777638885,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle5,5,shuffle,3,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle6,6,shuffle,3,0.0006078546021778986,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0]"
shuffle7,7,shuffle,3,-0.0005029440930935769,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle8,8,shuffle,3,-0.00041703353150172596,0.0,0.0,0.0,"[100.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0]"
shuffle9,9,shuffle,3,-0.004810784399198137,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 3.0, 100.0, 100.0, 3.0, 3.0, 3.0, 100.0]"
