bank,seed,kind,rank,existence,offset,counts,sign,bf_lambda_per_fold
real,,real,3,0.01136839978419162,0.0,0.0,0.0,"[3.0, 3.0, 1.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle0,0,shuffle,3,-0.0035470695432212097,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle1,1,shuffle,3,-0.0009115855679237394,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle2,2,shuffle,3,0.000702649862915411,0.0,0.0,0.0,"[100.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 100.0]"
shuffle3,3,shuffle,3,0.0023795166589096585,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0]"
shuffle4,4,shuffle,3,-0.0012307302001658082,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0]"
shuffle5,5,shuffle,3,-0.0005220787710829899,0.0,0.0,0.0,"[3.0, 3.0, 100.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 100.0]"
shuffle6,6,shuffle,3,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle7,7,shuffle,3,-0.001381695980060621,0.0,0.0,0.0,"[100.0, 3.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0]"
shuffle8,8,shuffle,3,0.0013915159119662068,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0]"
shuffle9,9,shuffle,3,0.004270143519799119,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle10,10,shuffle,3,-0.0007684137538707614,0.0,0.0,0.0,"[3.0, 100.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 100.0]"
shuffle11,11,shuffle,3,-0.0008256784969984332,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 100.0, 100.0]"
shuffle12,12,shuffle,3,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle13,13,shuffle,3,-0.0016361432488200488,0.0,0.0,0.0,"[100.0, 100.0, 3.0, 100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 100.0]"
shuffle14,14,shuffle,3,-0.0008752679052450973,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
shuffle15,15,shuffle,3,-0.0020544695541691582,0.0,0.0,0.0,"[100.0, 3.0, 3.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle16,16,shuffle,3,0.0011242555626028439,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 100.0, 3.0]"
shuffle17,17,shuffle,3,-0.0004907852243388022,0.0,0.0,0.0,"[3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 100.0, 100.0, 3.0, 100.0]"
shuffle18,18,shuffle,3,-0.00117673065847142,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0, 100.0, 100.0, 100.0]"
shuffle19,19,shuffle,3,-0.00021577424268044986,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 3.0]"
shuffle20,20,shuffle,3,0.0,0.0,0.0,0.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
shuffle21,21,shuffle,3,-0.0014815508906815377,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 100.0, 3.0, 100.0, 100.0, 100.0, 3.0, 3.0]"
shuffle22,22,shuffle,3,0.0045107409410372334,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
shuffle23,23,shuffle,3,0.00268682140806597,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
