sd,present,degenerate,auc_N1,auc_rule,M_rule,lam_rule,auc_BF:1,M_BF:1,lam_BF:1,auc_BF:2,M_BF:2,lam_BF:2,auc_BF:3,M_BF:3,lam_BF:3,auc_BF:4,M_BF:4,lam_BF:4,auc_N1,M_N1,lam_N1
0,24,False,0.4125,0.41875,0.006250000000000033,100.0,0.4125,0.0,100.0,0.4125,0.0,100.0,0.4125,0.0,100.0,0.4125,0.0,100.0,0.4125,0.0,
1,21,False,0.4806201550387597,0.48172757475083056,0.001107419712070845,100.0,0.4806201550387597,0.0,100.0,0.4806201550387597,0.0,100.0,0.4806201550387597,0.0,100.0,0.4806201550387597,0.0,100.0,0.4806201550387597,0.0,
2,22,False,0.49512987012987014,0.49837662337662336,0.00324675324675322,100.0,0.49512987012987014,0.0,100.0,0.49512987012987014,0.0,100.0,0.49512987012987014,0.0,100.0,0.49512987012987014,0.0,100.0,0.49512987012987014,0.0,
3,24,False,0.6265625,0.6333333333333333,0.0067708333333332815,100.0,0.6265625,0.0,100.0,0.6265625,0.0,100.0,0.6265625,0.0,100.0,0.6265625,0.0,100.0,0.6265625,0.0,
4,23,False,0.5487804878048781,0.545068928950159,-0.003711558854719077,100.0,0.5487804878048781,0.0,100.0,0.5487804878048781,0.0,100.0,0.5487804878048781,0.0,100.0,0.5487804878048781,0.0,100.0,0.5487804878048781,0.0,
5,22,False,0.3501082251082251,0.3430735930735931,-0.007034632034632005,100.0,0.3501082251082251,0.0,100.0,0.3501082251082251,0.0,100.0,0.3501082251082251,0.0,100.0,0.3501082251082251,0.0,100.0,0.3501082251082251,0.0,
6,28,False,0.5,0.5079365079365079,0.007936507936507908,100.0,0.5,0.0,100.0,0.5,0.0,100.0,0.5,0.0,100.0,0.5,0.0,100.0,0.5,0.0,
7,21,False,0.4418604651162791,0.46068660022148394,0.018826135105204866,100.0,0.4418604651162791,0.0,100.0,0.4418604651162791,0.0,100.0,0.4418604651162791,0.0,100.0,0.4418604651162791,0.0,100.0,0.4418604651162791,0.0,
8,31,False,0.48191593352883677,0.4804496578690127,-0.0014662756598240456,100.0,0.48191593352883677,0.0,100.0,0.48191593352883677,0.0,100.0,0.48191593352883677,0.0,100.0,0.48191593352883677,0.0,100.0,0.48191593352883677,0.0,
9,23,False,0.5254506892895016,0.5095440084835631,-0.01590668080593849,100.0,0.5254506892895016,0.0,100.0,0.5254506892895016,0.0,100.0,0.5254506892895016,0.0,100.0,0.5254506892895016,0.0,100.0,0.5254506892895016,0.0,
10,25,False,0.5835897435897436,0.5984615384615385,0.014871794871794908,100.0,0.5835897435897436,0.0,100.0,0.5835897435897436,0.0,100.0,0.5835897435897436,0.0,100.0,0.5835897435897436,0.0,100.0,0.5835897435897436,0.0,
