family,j,seed,gamma_z,gamma_z1,board,label,mechanism_description,outside_density,predictor,auc,D,logloss,logloss_margin_over_N1,precision_at_32,ceiling_full,ceiling_block,regrown_share_full,regrown_share_block,M_real,n_ge,n_shuffles,n_deg,n_valid_shuffles,p_S,p_P,p_P_rowcol,lambda_ko,lambda_full,lambda_block,auc_other_59,auc_fixed_lambda1,p_P_fixed_lambda1
R,0,90100,2.0,0.0,z,R,,0.24008651766402306,rule #2.1,1.0,3.3557905515610633,0.2739047084213271,0.4835101912582379,1.0,1.0,1.0,1.0,1.0,0.4541015625,0,99,0,99,0.01,0.0001,0.0001,1.0,1.0,1.0,1.0,1.0,0.0001
R,0,90100,2.0,0.0,z,R,,0.24008651766402306,BF_1,1.0,2.918704809565453,0.2688481509565812,0.4885667487229838,1.0,1.0,1.0,1.0,1.0,0.4541015625,0,99,0,99,0.01,0.0001,0.0001,1.0,1.0,1.0,1.0,1.0,0.0001
R,0,90100,2.0,0.0,z,R,,0.24008651766402306,BF_2,1.0,2.2879691909017406,0.3374754934944124,0.4199394061851526,1.0,1.0,1.0,1.0,1.0,0.4541015625,0,99,0,99,0.01,0.0001,0.0001,3.0,3.0,1.0,1.0,1.0,0.0001
R,0,90100,2.0,0.0,z,R,,0.24008651766402306,BF_3,1.0,2.3001092878532887,0.3371279209071074,0.4202869787724576,1.0,1.0,1.0,1.0,1.0,0.4541015625,0,99,0,99,0.01,0.0001,0.0001,3.0,3.0,1.0,1.0,1.0,0.0001
R,0,90100,2.0,0.0,z,R,,0.24008651766402306,BF_4,1.0,2.440180072696042,0.32099971201541977,0.4364151876641452,1.0,1.0,1.0,1.0,1.0,0.4541015625,0,99,0,99,0.01,0.0001,0.0001,3.0,3.0,1.0,1.0,0.931640625,0.0001
R,0,90100,2.0,0.0,z,R,,0.24008651766402306,N1,0.5458984375,0.0,0.757414899679565,0.0,0.625,0.548828125,0.5,0.94,,0.0,99,99,0,99,1.0,0.2645,0.0007,,,,0.5260416666666666,,
R,1,90101,2.0,0.0,z,R,,0.23672194184090362,rule #2.1,1.0,3.6650069795114995,0.24355487100116177,0.5150960316775438,1.0,1.0,1.0,1.0,1.0,0.4892578125,0,99,0,99,0.01,0.0001,0.0001,1.0,1.0,1.0,1.0,1.0,0.0001
R,1,90101,2.0,0.0,z,R,,0.23672194184090362,BF_1,1.0,3.2471447639710913,0.2282474739487182,0.5304034287299875,1.0,1.0,1.0,1.0,1.0,0.4892578125,0,99,0,99,0.01,0.0001,0.0001,1.0,1.0,1.0,1.0,1.0,0.0001
R,1,90101,2.0,0.0,z,R,,0.23672194184090362,BF_2,1.0,2.527359401308372,0.3007463114447601,0.4579045912339455,1.0,1.0,1.0,1.0,1.0,0.4892578125,0,99,0,99,0.01,0.0001,0.0001,3.0,3.0,1.0,1.0,1.0,0.0001
R,1,90101,2.0,0.0,z,R,,0.23672194184090362,BF_3,1.0,2.4890494320600554,0.30481834718132217,0.45383255549738344,1.0,1.0,1.0,1.0,1.0,0.4892578125,0,99,0,99,0.01,0.0001,0.0001,3.0,3.0,1.0,1.0,1.0,0.0001
