bank,seed,kind,existence,offset,counts,sign,existence_fold0,existence_fold1,existence_fold2,existence_fold3,existence_fold4,existence_fold5,existence_fold6,existence_fold7,existence_fold8,existence_fold9
real,0,real,0.36247565612529586,0.4204030829268882,0.9861415249958538,0.976830601092896,0.387386553379183,0.34692199843209987,0.37959490173790833,0.3625123472643723,0.31285758525128093,0.33842180108608716,0.36663521468279053,0.3597269762648353,0.40978645566051347,0.3609127274938881
shuffle0,0,shuffle,0.36332910904022436,0.41007918813347677,1.039527882082333,0.6370098425779495,0.36609978305788454,0.34404828198986637,0.359294080784677,0.3718164065372789,0.3819804479995379,0.36366246423560133,0.33514774182603246,0.3700122430774074,0.39903132233795935,0.34219831855599847
shuffle1,1,shuffle,0.36248678836469805,0.4150690704337525,1.0351917067794887,0.57347484998854,0.36121539400445707,0.37417596073094606,0.37537623220370536,0.3367046695126185,0.3803492384257649,0.31859807739555146,0.3724816353647052,0.37116769457919196,0.39215024423168104,0.34264873719835875
shuffle2,2,shuffle,0.36357513071888453,0.403380965502364,1.0368539619078885,0.6202361790412725,0.3396428204849218,0.4061570373853202,0.42128089729828805,0.3423772162262976,0.35650666646299317,0.3319369068592204,0.35377703234453456,0.3642644088142292,0.3639099397163676,0.3558983815966729
shuffle3,3,shuffle,0.36429587334784463,0.3989530086325878,1.0366146137045944,0.5676459629661348,0.3218613426754141,0.3596697104523159,0.3385913243335379,0.36460516981671687,0.33179887235750816,0.35712434616182326,0.40188158832316334,0.4221670388170933,0.39441457401503593,0.35084476652583846
shuffle4,4,shuffle,0.3609028988763582,0.40463075267508797,1.046535830751305,0.5852316518573033,0.3951728643715708,0.3801540370002187,0.4268070075131024,0.324342654622368,0.3369753536249747,0.32665774632627026,0.33193126554820085,0.3863074232213143,0.3701487116445219,0.33053192489103966
shuffle5,5,shuffle,0.3624277889110359,0.4035520940615111,1.029509323016153,0.5694337715052001,0.3811529224785769,0.37654110637890426,0.3828505643440175,0.3107097572456443,0.4073717640192583,0.309929488732072,0.38135549674699976,0.3152853483849623,0.33243499861779424,0.4266464421621294
shuffle6,6,shuffle,0.3628238319768451,0.39592428738634194,1.037271708414274,0.5765297895242455,0.3587911900163201,0.41551942763664557,0.38710292777343885,0.36384713538478486,0.36623162840150547,0.3349860144575214,0.3266025365627498,0.35179469378225925,0.3559537624716734,0.3674090032815522
shuffle7,7,shuffle,0.3623599776296522,0.4067203043892535,1.0354887265576522,0.5496939101403537,0.35779308169418794,0.3671154192913314,0.3625162471892583,0.39317233461013995,0.3511026651263018,0.3517484220562467,0.33493646381698444,0.33829799694158996,0.3708556629482157,0.3960614826222663
shuffle8,8,shuffle,0.36077463988955893,0.40751350021952265,1.0321779264652013,0.5675726468950153,0.3529682425309383,0.4481057070579702,0.3625206919549517,0.33174256643487776,0.313350938574347,0.3526636683097956,0.34922217938771966,0.35171052994932656,0.35886741122584315,0.38659446346981907
shuffle9,9,shuffle,0.361511943946457,0.40583465025151944,1.0433958860866688,0.5793790609368203,0.3659798611867661,0.363719549158294,0.4021782666558251,0.3871141742080355,0.37371342466960333,0.3296001341511256,0.33292982849328806,0.3291329832404741,0.39246911048243055,0.33828210721872753
shuffle10,10,shuffle,0.3619806665658428,0.41874766371014555,1.0353182413224646,0.5916627078017181,0.3179391460418767,0.3537114579954631,0.33734440001736876,0.3996021709523638,0.3358093853146576,0.3581270799869721,0.3942270515523096,0.372001164806853,0.34418529425220956,0.4068595147383537
shuffle11,11,shuffle,0.36109689233655673,0.4131309387390213,1.0257575296034687,0.5921883229295475,0.3478843467584406,0.3708652367410165,0.39709540473020055,0.34611406816169055,0.37097376663747605,0.374054663098278,0.36179131714053553,0.34277342326400917,0.3627469908982265,0.33666970593569345
shuffle12,12,shuffle,0.36267055404461235,0.4029447002192904,1.0398893043252664,0.529719315326865,0.3715685944101179,0.40441643317233605,0.36257322000644276,0.36709518141485753,0.3450930649690334,0.30446616090244727,0.3389665301814615,0.3286152438788071,0.4134902631003815,0.3904208484102389
shuffle13,13,shuffle,0.36179487582945297,0.4000872542934393,1.0359518291906595,0.5608705508642764,0.3406859655974489,0.3550362412188868,0.39408758608550537,0.35742210194177526,0.3594797324865521,0.3285183107775147,0.36407766781039563,0.40131932380134533,0.39437849866847824,0.3229433299066275
shuffle14,14,shuffle,0.3615442766043139,0.39944852446926127,1.042334003021158,0.5914178016911247,0.3547009860156527,0.3652620941619914,0.3401843047305075,0.3458401924881886,0.3749374423688036,0.3533736865135741,0.3265613283020283,0.39239916165379995,0.3946550630864144,0.3675285067221783
shuffle15,15,shuffle,0.36244040712386516,0.3934085322476019,1.053332142795362,0.5796098638131293,0.36681797517347164,0.4086975426878531,0.3792787506477278,0.32890310317164584,0.34803307532796307,0.34978914166213276,0.415973255793677,0.30166301951800306,0.3862319925894657,0.3390162146667113
shuffle16,16,shuffle,0.36151983170628565,0.41121374987393633,1.0258888550021652,0.621799547036616,0.3773127717771109,0.37123786520567714,0.35890036832040867,0.4111820890970564,0.35264388153713355,0.34197799761762115,0.32482955968393734,0.30537039809761957,0.39220101083176484,0.3795423748945267
shuffle17,17,shuffle,0.3605669730284522,0.41794820340120287,1.0414993850022676,0.5466271343283505,0.3622302380586556,0.3304235788968009,0.3234237075614274,0.37991499795902955,0.3528086507452766,0.3689932132952566,0.355287892485382,0.3833921098276974,0.3426125415519426,0.406582799903053
shuffle18,18,shuffle,0.3629208191250687,0.40672647781465343,1.0310383711435835,0.5866930081117154,0.3380654766331122,0.37433042604596584,0.35593765342521055,0.4140602040860101,0.3604844587301581,0.4045060895600711,0.34072893634499263,0.3667702035723544,0.3303316757948415,0.34399306705797045
shuffle19,19,shuffle,0.36280333083723787,0.398738923779994,1.043357480051337,0.5446919264416075,0.3630438482633151,0.44229221036094235,0.35334120863073765,0.3540737769718457,0.3380882449350695,0.32145021477893004,0.39767030641991236,0.39297681682694224,0.32587568761350877,0.3392209935711751
shuffle20,20,shuffle,0.36042461011391447,0.4079891207536336,1.031014815772149,0.5708167092029033,0.3800499564668337,0.37873553424147555,0.32103045488074466,0.3393246545061874,0.3897727576809022,0.3403910583868836,0.32674260436561336,0.3697290256280234,0.37149551921949453,0.3869745357629868
shuffle21,21,shuffle,0.3636576686880758,0.40152846206488874,1.0498624177776466,0.5707213206584222,0.3419039847623564,0.40798661768573735,0.365486527700227,0.383670485600802,0.3718528689702482,0.3616477504634,0.32828004582720616,0.3360144234701744,0.35516848739973206,0.3845654950008742
shuffle22,22,shuffle,0.3627354923665016,0.3825386801258301,1.0541034407009637,0.6191781820235261,0.35029175512189453,0.3146211423314123,0.3573920943975289,0.37457889418905416,0.3696095313208887,0.3450667700681555,0.3389532993193342,0.3748672064188409,0.3861818893742156,0.4157923411236911
shuffle23,23,shuffle,0.36122595501305693,0.4147838674322732,1.037441752725381,0.5639660675470294,0.3506203691224775,0.3460243074045231,0.33335029006442346,0.38531574524055356,0.32884204173775133,0.37396641553996224,0.33677869552869605,0.403070550575492,0.3994467108449561,0.3548444240717341
shuffle24,24,shuffle,0.36212244103445423,0.40056628823332696,1.0466010956798941,0.5802223515028316,0.3418143610611433,0.3542020507927639,0.38072128705357017,0.35516359379181156,0.364260011814194,0.37014703329124077,0.35528829693829994,0.3356913446508992,0.4070242610370637,0.35691216991355607
shuffle25,25,shuffle,0.36148464230298294,0.40375889309918767,1.0365862404221795,0.5606175009284711,0.32902249224972857,0.38404773798688424,0.3867064212320328,0.3658455307068136,0.33895665786638723,0.33783690813590117,0.33432192096527213,0.3445077132964175,0.41252774036561,0.3810733002247824
shuffle26,26,shuffle,0.3644585004684332,0.40384080750959955,1.0363008773412745,0.5711286646898996,0.3253400503890055,0.41258802436689873,0.410717814228683,0.36213439682870235,0.3796741483341526,0.31336323929702764,0.34400363646729576,0.3598038740661753,0.38312808940304427,0.35383173130334733
shuffle27,27,shuffle,0.36230237227594486,0.3992263498464585,1.0363464864300658,0.5939001564716851,0.3710588562018964,0.37910072921247034,0.35584099854174184,0.376874400422402,0.34480801588338117,0.3856658643494527,0.3684614057667217,0.3591131711750919,0.3491906719637437,0.33290960924254653
shuffle28,28,shuffle,0.36141376615036985,0.3904515466846235,1.0441673357603165,0.5673648903055255,0.40280272396131267,0.3690868260501482,0.35722156327870236,0.33914002953171163,0.3401820809510733,0.3512460621480162,0.378560542618917,0.3816890571338756,0.37352065051553607,0.3206881253144054
shuffle29,29,shuffle,0.36310295446573326,0.3893734047595968,1.0396738253877742,0.6154684233448948,0.36658538128226864,0.38904359738031774,0.371380843705774,0.3289512915332672,0.37681290699498915,0.36001630816517716,0.34342880280877036,0.3916007437760089,0.3737566587616748,0.32945301024908474
shuffle30,30,shuffle,0.362099502290772,0.39550543290891593,1.0484544009314491,0.6212239224762148,0.3390603279409109,0.3575888340934003,0.3711567662548308,0.385698671843599,0.3420100128916516,0.36878071174415694,0.36893711449058886,0.37128774757810973,0.3582204666629625,0.3582543694075093
shuffle31,31,shuffle,0.362482278450954,0.4012820604260817,1.0279692455417841,0.5964315795466968,0.32800362412062745,0.370650257837319,0.3149615294049521,0.37611828628903893,0.4022955180964834,0.3446995361506529,0.34828790430617734,0.38123342368053054,0.3432241725189615,0.41534853210479683
