t_rel,util,mem_mib
0.03,0,3061
0.54,0,3051
1.41,0,3029
1.55,2,3075
2.06,0,3075
2.56,0,3075
3.07,0,3071
3.58,0,3070
4.09,0,3070
4.59,0,3068
5.10,0,3068
5.61,0,3068
6.12,0,3065
6.63,0,3065
7.14,0,3065
7.66,0,3037
8.16,0,3024
8.67,0,3024
9.17,0,3024
9.69,1,3033
10.19,0,3033
10.69,0,3033
11.19,0,3033
11.71,0,3032
12.22,0,3027
12.73,0,3027
13.23,0,3026
13.75,0,3026
14.26,0,3025
14.77,0,3025
15.28,0,3025
15.79,0,3025
16.30,0,3023
16.80,0,3023
17.31,0,3019
17.81,0,3019
18.32,0,3019
18.83,0,3015
19.33,0,3015
19.84,0,3015
20.36,0,3015
20.87,0,3015
21.37,0,3015
21.88,0,3015
22.39,0,3015
22.89,0,3015
23.40,0,3015
23.92,0,3015
24.43,0,3015
24.94,0,3015
25.45,0,3015
25.96,0,3015
26.46,0,3015
26.98,0,3015
27.48,0,3015
27.99,0,3015
28.50,0,3015
29.01,0,3015
29.51,0,3015
30.02,0,3015
30.52,0,3015
31.04,0,3015
31.54,0,3015
32.05,0,3015
32.55,0,3015
33.06,0,3015
33.57,0,3015
34.07,0,3015
34.57,0,3015
35.08,0,3015
35.59,0,3015
36.11,0,3015
36.62,0,3015
37.12,0,3015
37.63,0,3015
38.13,0,3015
38.65,0,3015
39.16,0,3015
39.68,0,3015
40.18,0,3015
40.69,0,3015
41.20,0,3015
41.71,0,3015
42.23,0,3015
42.74,0,3015
43.25,0,3015
43.75,0,3015
44.26,0,3015
44.77,0,3015
45.28,0,3022
45.79,0,3022
46.30,0,3022
46.81,0,3022
47.31,0,3022
47.82,0,3022
48.32,0,3021
48.83,0,3021
49.33,0,3021
49.85,0,3021
50.36,0,3017
50.87,0,3017
51.37,0,3017
51.88,0,3017
52.38,0,3017
52.89,0,3017
53.40,0,3017
53.91,0,3017
54.43,0,3017
54.94,0,3017
55.45,0,3017
55.96,0,3017
56.47,0,3017
56.98,0,3017
57.48,0,3017
57.99,0,3017
58.49,0,3017
59.01,0,3017
59.51,0,3017
60.02,0,3017
60.53,0,3017
61.05,0,3017
61.55,0,3017
62.06,0,3017
62.56,0,3017
63.07,0,3017
63.57,0,3017
64.08,0,3017
64.60,0,3017
65.11,0,3017
65.61,0,3017
66.12,0,3017
66.63,0,3017
67.14,0,3017
67.64,0,3022
68.15,0,3022
68.66,0,3020
69.17,0,3020
69.68,0,3020
70.19,0,3020
70.70,0,3020
71.21,0,3020
71.71,0,3020
72.22,0,3020
72.73,0,3016
73.24,0,3016
73.75,0,3016
74.26,0,3016
74.76,0,3016
75.27,0,3016
75.77,0,3016
76.28,0,3016
76.78,0,3016
77.29,0,3016
77.81,0,3016
78.32,0,3016
78.83,0,3016
79.34,0,3016
79.85,0,3016
80.36,0,3016
80.87,0,3016
81.38,0,3016
81.88,0,3016
82.39,0,3016
82.90,0,3016
83.41,0,3016
83.92,0,3016
84.43,0,3016
84.95,0,3016
85.45,0,3016
85.96,0,3016
86.47,0,3016
86.98,0,3016
87.50,0,3016
88.01,0,3016
88.52,0,3016
89.03,0,3016
89.54,0,3016
90.05,0,3016
90.56,0,3016
91.07,0,3016
91.58,0,3016
92.08,0,3016
92.59,0,3016
93.09,0,3016
93.60,0,3016
94.12,0,3016
94.63,0,3016
95.15,0,3016
95.66,0,3016
96.17,0,3016
96.68,0,3016
97.18,0,3016
97.69,0,3016
98.19,0,3016
98.70,0,3016
99.20,0,3016
99.71,0,3016
100.22,0,3016
100.73,0,3016
101.24,0,3016
101.75,0,3016
102.25,0,3016
102.77,0,3016
103.27,0,3016
103.78,0,3016
104.29,0,3016
104.80,0,3016
105.30,0,3016
105.82,0,3016
106.32,0,3016
106.83,0,3016
107.33,0,3016
107.84,0,3016
108.35,0,3016
108.85,0,3016
109.36,0,3016
109.88,0,3016
110.39,0,3016
110.89,0,3016
111.39,0,3016
111.89,0,3016
112.41,0,3016
112.91,0,3016
113.42,0,3016
113.92,0,3016
114.43,0,3016
114.94,0,3016
115.45,0,3016
115.95,0,3016
116.47,0,3016
116.97,0,3016
117.48,0,3016
117.98,0,3016
118.50,0,3016
119.00,0,3016
119.51,0,3016
120.01,0,3016
120.52,0,3016
121.04,0,3016
121.55,0,3016
122.05,0,3016
122.56,0,3016
123.08,0,3016
123.58,0,3016
124.09,0,3016
124.60,0,3016
125.10,0,3016
125.62,0,3016
126.14,0,3016
126.65,0,3016
127.16,0,3020
127.67,0,3020
128.17,0,3020
128.68,0,3020
129.19,0,3020
129.70,0,3020
130.21,0,3020
130.72,0,3020
131.23,0,3020
131.75,0,3020
132.25,0,3020
132.77,0,3016
133.27,0,3016
133.78,0,3016
134.28,0,3016
134.80,0,3016
135.30,0,3016
135.81,0,3016
136.33,0,3016
136.84,0,3016
137.34,0,3016
137.86,0,3016
138.36,0,3016
138.87,0,3016
139.37,0,3016
139.88,0,3024
140.40,3,3248
140.91,24,7498
141.42,3,15587
141.93,97,15587
142.45,98,15571
142.96,99,15575
143.47,96,15575
143.99,95,15575
144.49,95,15575
145.00,98,15575
145.50,96,15575
146.01,96,15575
146.51,94,15577
147.03,97,15577
147.53,99,15577
148.04,99,15579
