t_rel,util,mem_mib
0.03,0,3027
0.55,0,3026
1.06,0,3025
1.56,1,3026
2.07,0,3026
2.57,0,3026
3.08,0,3025
3.59,0,3024
4.10,0,3024
4.60,0,3022
5.11,0,3019
5.61,0,3015
6.11,1,3028
6.63,94,11426
7.13,98,11428
7.65,98,11430
8.16,97,11430
8.66,97,11430
9.17,98,11430
9.67,95,11428
10.19,95,11428
10.69,95,11424
11.20,94,11424
11.70,94,11432
12.21,85,11432
12.72,92,11432
13.22,22,11432
13.74,99,11432
14.25,100,11432
14.76,99,11432
15.27,99,11432
15.77,100,11432
16.29,99,11432
16.79,99,11432
17.30,98,11432
17.80,98,11432
18.31,99,11432
18.82,98,11432
19.33,99,11432
19.85,99,11437
20.36,99,11437
20.87,98,11435
21.39,98,11435
21.89,99,11435
22.40,98,11435
22.90,99,11435
23.42,97,11435
23.93,98,11435
24.44,99,11435
24.95,98,11435
25.46,96,11431
25.97,95,11431
26.48,97,11431
27.00,97,11431
27.51,93,12721
28.03,100,12721
28.54,100,12721
29.05,99,12721
29.56,100,12721
30.08,99,12721
30.59,99,12721
31.09,99,12721
31.60,99,12721
32.11,99,12728
32.62,99,12729
33.12,99,12729
33.62,98,12729
34.12,99,12721
34.63,97,12721
35.14,98,12721
35.65,99,12721
36.16,98,12721
36.67,98,12721
37.19,99,12721
37.70,99,12721
38.21,99,12721
38.72,98,12721
39.22,98,12721
39.74,97,12721
40.24,95,12721
40.75,95,12721
41.26,93,12721
41.77,100,12721
42.27,100,12721
42.79,99,12721
43.30,99,12721
43.81,99,12721
44.33,100,12721
44.84,99,12721
45.34,99,12721
45.86,98,12721
46.37,99,12721
46.88,99,12721
47.38,98,12721
47.90,98,12721
48.41,98,12721
48.91,99,12721
49.42,98,12721
49.92,97,12721
50.43,99,12721
50.95,98,12721
51.46,99,12721
51.97,99,12721
52.48,98,12721
53.00,99,12721
53.51,98,12721
54.03,97,12721
54.53,96,12721
55.03,95,12721
55.55,95,12721
56.06,94,12721
