{'family': 'R', 'seed': 90100, 'r': 1, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 1.0, 'auc_gpu': 1.0, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 1.6976051330566406, 'secs_gpu': 1.274350643157959, 'auc_diff': 0.0}
{'family': 'R', 'seed': 90100, 'r': 2, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 1.0, 'auc_gpu': 1.0, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 3.5835208892822266, 'secs_gpu': 1.315244197845459, 'auc_diff': 0.0}
{'family': 'R', 'seed': 90100, 'r': 3, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 1.0, 'auc_gpu': 1.0, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 4.5146706104278564, 'secs_gpu': 1.5293562412261963, 'auc_diff': 0.0}
{'family': 'R', 'seed': 90100, 'r': 4, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 1.0, 'auc_gpu': 1.0, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 5.475157260894775, 'secs_gpu': 1.802900791168213, 'auc_diff': 0.0}
{'family': 'R', 'seed': 90101, 'r': 1, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 1.0, 'auc_gpu': 1.0, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 1.680342435836792, 'secs_gpu': 1.46929931640625, 'auc_diff': 0.0}
{'family': 'R', 'seed': 90101, 'r': 2, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 1.0, 'auc_gpu': 1.0, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 3.6708970069885254, 'secs_gpu': 1.3825221061706543, 'auc_diff': 0.0}
{'family': 'R', 'seed': 90101, 'r': 3, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 1.0, 'auc_gpu': 1.0, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 4.479421377182007, 'secs_gpu': 1.586256980895996, 'auc_diff': 0.0}
{'family': 'R', 'seed': 90101, 'r': 4, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 1.0, 'auc_gpu': 1.0, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 5.441333293914795, 'secs_gpu': 1.6573379039764404, 'auc_diff': 0.0}
{'family': 'R', 'seed': 90102, 'r': 1, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 1.0, 'auc_gpu': 1.0, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 1.6623592376708984, 'secs_gpu': 1.3569293022155762, 'auc_diff': 0.0}
{'family': 'R', 'seed': 90102, 'r': 2, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.9912109375, 'auc_gpu': 0.9912109375, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 3.5390498638153076, 'secs_gpu': 1.571744441986084, 'auc_diff': 0.0}
{'family': 'R', 'seed': 90102, 'r': 3, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.9892578125, 'auc_gpu': 0.9892578125, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 4.504915237426758, 'secs_gpu': 1.7924346923828125, 'auc_diff': 0.0}
