fold,rule,N1,BF_1,BF_2,BF_3,BF_4,RP_1_argmax
0,0.3550017219290883,0.387386553379183,0.35600931322052626,0.3571211747526277,0.340035450398998,0.34019044475851623,0.38463033350948345
1,0.3015740497167499,0.34692199843209987,0.3079304829494617,0.31405354512642764,0.3014944898749309,0.3020615637076702,0.34727930056606165
2,0.3114273183051397,0.37959490173790833,0.3195533136720483,0.32829763101640247,0.3161299834604725,0.31532532782115025,0.36670837310112364
3,0.34424918897365475,0.3625123472643723,0.3392906204777394,0.3371072085116755,0.3296949557286684,0.3281825281840719,0.3599397489444303
4,0.2964210783875941,0.31285758525128093,0.3031424508089966,0.2967363051508373,0.2943863043498719,0.29488806770129383,0.3179584859897498
5,0.29706603108322743,0.33842180108608716,0.29895449177130373,0.3074264342295746,0.29593020719245805,0.29546534567882554,0.33182081751217063
6,0.33658403733727293,0.36663521468279053,0.3482911255928402,0.3512172506983784,0.32749161118822906,0.32990938084062466,0.36587006581455883
7,0.3146999609831387,0.3597269762648353,0.3220400030448342,0.32015839379848343,0.3110417391857684,0.30954209488800055,0.3650645034610895
8,0.3904069388066086,0.40978645566051347,0.40020071277214203,0.3856546371354021,0.3752803642249105,0.37779634023676073,0.41118472452733484
9,0.33956472914847463,0.3609127274938881,0.3478435364216071,0.34471629704953727,0.3298635945389458,0.334157966666804,0.3642514370758102
