iteration,val_loss_A,val_loss_B
0,1212.5556,1212.5556
12,1212.2575,1212.2574
3612,1206.3210,1206.3057
7212,1206.1248,1206.1166
10812,1205.7025,1205.6864
14412,1206.0824,1206.0104
18012,1205.9267,1205.8643
21612,1199.3854,1200.0605
25212,1192.7493,1192.8249
28812,1184.2532,1183.6375
32412,1175.8663,1178.3090
36012,1170.1614,1170.5986
39612,1170.5515,1172.1209
43212,1170.5394,1171.6974
46812,1163.0753,1165.0034
50412,1166.7279,1165.7000
54012,1165.3890,1168.5220
57612,1163.9735,1165.8661
61212,1157.2235,1163.6425
64812,1163.9785,1165.2621
68412,1168.6454,1175.2381
72012,1156.2146,1165.7804
75612,1153.7558,1158.3737
79212,1155.2570,1161.6555
82812,1143.5370,1156.0002
86412,1155.3520,1161.0802
90012,1150.2037,1162.7695
93612,1146.0899,1158.1070
97212,1166.0588,1165.5258
100812,1159.3972,1165.9084
104412,1149.9424,1165.0306
108012,1152.2472,1165.1910
111612,1145.2592,1158.2587
115212,1162.6179,1167.6306
118812,1159.1506,1160.2479
122412,1149.5846,1157.1583
126012,1157.3147,1163.2417
129612,1155.5432,1160.7915
133212,1153.2944,1164.9485
136812,1155.7976,1165.1465
140412,1170.6714,1167.6292
144012,1154.2528,1166.6949
147612,1150.4220,1160.9485
151212,1152.8307,1165.0776
154812,1159.6491,1164.1412
158412,1148.1151,1160.1366
162012,1159.5074,1170.9093
165612,1168.3797,1172.0600
169212,1149.1648,1160.9524
172812,1154.8277,1165.7929
176412,1147.5207,1164.6906
180012,1148.9453,1161.0158
183612,1146.5118,1163.1875
187212,1150.2214,1167.1313
190812,1167.6187,1172.5036
194412,1153.1420,1163.9779
198012,1149.6872,1163.5246
201612,1147.5358,1162.2340
205212,1148.8634,1163.2771
208812,1149.8740,1163.9772
212412,1156.6829,1168.5996
216012,1152.8448,1164.6138
219612,1141.0463,1158.8616
223212,1153.7354,1165.0799
226812,1150.9120,1163.2940
230412,1148.4920,1161.3785
234012,1145.9390,1162.5076
237612,1146.7684,1163.5597
241212,1150.2581,1163.7693
244812,1147.7892,1163.0918
248412,1153.3329,1165.2531
250008,1148.8075,1160.9823
