path,run_a,run_b,variant,alpha,aggregate_hook,aggregate_per_item_mean,hook_minus_per_item_mean,bn_batches,wall_s,item_sequence_02_ambush_2_split_00,item_sequence_02_ambush_2_split_01,item_sequence_02_ambush_2_split_02,item_sequence_07_bamboo_1_split_00,item_sequence_07_bamboo_1_split_01,item_sequence_07_bamboo_1_split_02,item_sequence_09_bandage_1_split_00,item_sequence_09_bandage_1_split_01,item_sequence_09_bandage_1_split_02,item_sequence_12_cave_4_split_00,item_sequence_13_market_2_split_00,item_sequence_13_market_2_split_01,item_sequence_13_market_2_split_02,item_sequence_16_mountain_1_split_00,item_sequence_16_mountain_1_split_01,item_sequence_16_mountain_1_split_02
control_0_to_1,000,001,1,0.0,1148.8074417114258,1148.8074402809143,1.430511474609375e-06,,0.737,4048.8447265625,4363.81494140625,4764.62109375,93.3648910522461,79.38642883300781,104.89815521240234,687.7186889648438,690.906494140625,546.3439331054688,1181.232666015625,679.7901611328125,445.06927490234375,208.05987548828125,183.49948120117188,101.5423812866211,201.8258514404297
control_0_to_1,000,001,1,0.05,1211.8343052864075,1211.834310054779,-4.76837158203125e-06,,0.7,4156.71630859375,4478.9072265625,4882.97119140625,98.2843017578125,81.84426879882812,114.63236236572266,799.3350219726562,805.46435546875,661.0769653320312,1204.8726806640625,757.92431640625,486.83001708984375,227.17254638671875,214.1126251220703,147.93939208984375,271.265380859375
control_0_to_1,000,001,1,0.1,1278.7820482254028,1278.7820835113525,-3.528594970703125e-05,,0.786,4195.92431640625,4511.2373046875,4907.267578125,232.70721435546875,217.12850952148438,248.01104736328125,813.2499389648438,808.6019287109375,658.2969970703125,1218.374267578125,810.0341186523438,523.9361572265625,297.2157287597656,381.2439880371094,283.7662353515625,353.51800537109375
control_0_to_1,000,001,1,0.15,1373.7109832763672,1373.7109260559082,5.7220458984375e-05,,0.924,4214.94384765625,4534.8173828125,4928.94384765625,406.6627197265625,389.4107666015625,424.5152587890625,857.5021362304688,840.2075805664062,686.5069580078125,1265.4466552734375,908.3056640625,616.8883666992188,434.2802429199219,555.5828857421875,439.13134765625,476.2291564941406
control_0_to_1,000,001,1,0.2,1416.736536026001,1416.737054824829,-0.000518798828125,,0.768,4217.00732421875,4535.51025390625,4930.76220703125,489.23712158203125,473.18792724609375,510.4693298339844,880.0571899414062,855.2485961914062,706.3011474609375,1300.4312744140625,964.0792846679688,674.8606567382812,508.77734375,605.9073486328125,495.133056640625,520.8228149414062
control_0_to_1,000,001,1,0.25,1386.750726699829,1386.7506427764893,8.392333984375e-05,,0.802,4204.58740234375,4517.6875,4921.16162109375,445.861328125,453.3258972167969,468.52911376953125,849.934814453125,828.465576171875,686.8602905273438,1301.6375732421875,936.571533203125,646.9056396484375,483.3429260253906,527.20556640625,441.56304931640625,474.3704528808594
control_0_to_1,000,001,1,0.3,1261.8409624099731,1261.8409605026245,1.9073486328125e-06,,0.751,4185.537109375,4490.4169921875,4896.94384765625,227.86053466796875,237.73443603515625,265.0270080566406,768.7492065429688,767.1016845703125,615.5204467773438,1240.7000732421875,822.3025512695312,534.2103881835938,306.1087951660156,311.8737487792969,228.0956573486328,291.27288818359375
control_0_to_1,000,001,1,0.35,1235.624348640442,1235.6243362426758,1.239776611328125e-05,,0.926,4188.68310546875,4490.9404296875,4898.1796875,175.37400817871094,185.3494415283203,215.19847106933594,743.4059448242188,752.5863037109375,605.1145629882812,1225.590576171875,798.9317626953125,519.3009643554688,273.67303466796875,261.504150390625,182.24855041503906,253.90838623046875
control_0_to_1,000,001,1,0.4,1230.3985023498535,1230.3984985351562,3.814697265625e-06,,0.733,4193.95849609375,4495.42626953125,4903.78955078125,171.56675720214844,181.40509033203125,213.96218872070312,726.9207153320312,738.7973022460938,593.3538818359375,1221.55615234375,799.0,519.6531982421875,273.20245361328125,250.4385986328125,168.9201202392578,234.42520141601562
control_0_to_1,000,001,1,0.45,1235.0367288589478,1235.036732673645,-3.814697265625e-06,,0.688,4199.568359375,4501.31494140625,4911.171875,189.46363830566406,199.7281036376953,232.15965270996094,713.0827026367188,724.974853515625,580.7906494140625,1223.180908203125,808.4220581054688,527.886474609375,284.6152038574219,260.6019592285156,176.2200927734375,227.40625
