iteration,chkpt_index,hook_val_0,hook_val_0prime,stored_ckpt_val_0,stored_ckpt_val_0prime
0,0,1212.5555891990662,1212.5555891990662,1212.5555891990662,1212.5555891990662
12,1,1212.2575192451477,1212.257432460785,1212.2575192451477,1212.257432460785
3612,2,1206.3209676742554,1206.3056817054749,1206.3209657669067,1206.3056826591492
7212,3,1206.124836921692,1206.11656332016,1206.1248331069946,1206.1165614128113
10812,4,1205.7025270462036,1205.686357498169,1205.7025265693665,1205.6863594055176
14412,5,1206.0823636054993,1206.0104513168335,1206.0823640823364,1206.0104479789734
18012,6,1205.9266648292542,1205.8643426895142,1205.9266576766968,1205.864339351654
21612,7,1199.3853878974915,1200.0604553222656,1199.3853902816772,1200.060486316681
25212,8,1192.7493433952332,1192.8248972892761,1192.749345779419,1192.8248987197876
28812,9,1184.2531566619873,1183.6375246047974,1184.2531604766846,1183.6375303268433
32412,10,1175.8662657737732,1178.309009552002,1175.8662767410278,1178.3089871406555
36012,11,1170.1613597869873,1170.5986251831055,1170.161361694336,1170.598623752594
39612,12,1170.551456451416,1172.1209292411804,1170.5514578819275,1172.1209344863892
43212,13,1170.5393686294556,1171.6974115371704,1170.5393662452698,1171.6973991394043
46812,14,1163.0752878189087,1165.003415107727,1163.0752940177917,1165.0034232139587
50412,15,1166.727911233902,1165.6999797821045,1166.7278966903687,1165.6999549865723
54012,16,1165.3890008926392,1168.5220184326172,1165.3889746665955,1168.5220174789429
57612,17,1163.973464012146,1165.8661227226257,1163.9734754562378,1165.8661308288574
61212,18,1157.2235765457153,1163.6425433158875,1157.2235441207886,1163.6424922943115
64812,19,1163.9785223007202,1165.2620992660522,1163.9785342216492,1165.2621054649353
68412,20,1168.6454463005066,1175.2381520271301,1168.6454310417175,1175.2381105422974
72012,21,1156.2145366668701,1165.7804470062256,1156.214557647705,1165.7804346084595
75612,22,1153.7557663917542,1158.3736763000488,1153.7557654380798,1158.3736753463745
79212,23,1155.2569470405579,1161.6554760932922,1155.2569732666016,1161.6554536819458
82812,24,1143.5370626449585,1156.0001440048218,1143.5370287895203,1156.0001559257507
86412,25,1155.3520255088806,1161.0801758766174,1155.352017402649,1161.080171585083
90012,26,1150.2036609649658,1162.7695608139038,1150.2037014961243,1162.769546031952
93612,27,1146.0898942947388,1158.1070866584778,1146.0899176597595,1158.107048034668
97212,28,1166.0587873458862,1165.5258569717407,1166.0587973594666,1165.5258479118347
100812,29,1159.3973135948181,1165.9083738327026,1159.3972482681274,1165.9083790779114
104412,30,1149.9423880577087,1165.0305533409119,1149.9424061775208,1165.0305652618408
108012,31,1152.247163772583,1165.1909575462341,1152.2471561431885,1165.1910004615784
111612,32,1145.2592687606812,1158.2587394714355,1145.259247303009,1158.2587203979492
115212,33,1162.6178669929504,1167.630609512329,1162.6178755760193,1167.6305890083313
118812,34,1159.150556087494,1160.2478923797607,1159.1505522727966,1160.2479157447815
122412,35,1149.5846400260925,1157.1583127975464,1149.5846281051636,1157.1582894325256
126012,36,1157.3147187232971,1163.2416229248047,1157.3147263526917,1163.24169921875
129612,37,1155.543249130249,1160.7914605140686,1155.54319190979,1160.7914743423462
133212,38,1153.2943677902222,1164.948549747467,1153.2943959236145,1164.9485363960266
136812,39,1155.7975988388062,1165.1465315818787,1155.7976460456848,1165.14652967453
140412,40,1170.6714596748352,1167.6291522979736,1170.67139005661,1167.6291785240173
144012,41,1154.2527952194214,1166.6948642730713,1154.2527952194214,1166.6948523521423
147612,42,1150.4219799041748,1160.9485301971436,1150.4220099449158,1160.9484596252441
151212,43,1152.8306632041931,1165.0775957107544,1152.8306703567505,1165.077630519867
154812,44,1159.6490879058838,1164.1412329673767,1159.6490750312805,1164.1412391662598
158412,45,1148.115005493164,1160.1366038322449,1148.1150574684143,1160.1365804672241
162012,46,1159.5073475837708,1170.9092602729797,1159.507375717163,1170.9092984199524
