item,L_A_same_process,A_from_A,A_from_A_delta,A_from_0prime,A_from_0prime_delta,A_from_2,A_from_2_delta,L_B_recheck_run1,B_from_A_recheck_run1,B_from_A_recheck_run1_delta,L_B_recheck_run2,B_from_A_recheck_run2,B_from_A_recheck_run2_delta
sequence_02_ambush_2_split_00,4048.845459,4048.845215,-0.000244,4048.883545,0.038086,4069.795898,20.950439,3935.176514,4027.061523,91.88501,3935.176514,4027.061035,91.884521
sequence_02_ambush_2_split_01,4363.814941,4363.814453,-0.000488,4371.999023,8.184082,4369.090332,5.275391,4312.634277,4146.30127,-166.333008,4312.634277,4146.300781,-166.333496
sequence_02_ambush_2_split_02,4764.621094,4764.621094,0.0,4786.553223,21.932129,4786.274902,21.653809,4714.099609,4598.512695,-115.586914,4714.099609,4598.513184,-115.586426
sequence_07_bamboo_1_split_00,93.364914,93.364929,1.5e-05,84.879036,-8.485878,93.372635,0.007721,105.062889,2165.99292,2060.930031,105.062866,2165.991699,2060.928833
sequence_07_bamboo_1_split_01,79.386429,79.386429,0.0,62.351906,-17.034523,81.509209,2.12278,103.010513,2076.293457,1973.282944,103.010452,2076.294434,1973.283981
sequence_07_bamboo_1_split_02,104.898201,104.89817,-3.1e-05,88.283997,-16.614204,108.081367,3.183167,123.587608,2201.722656,2078.135048,123.587654,2201.724854,2078.137199
sequence_09_bandage_1_split_00,687.718811,687.71875,-6.1e-05,748.903687,61.184875,676.416199,-11.302612,692.605469,2858.151611,2165.546143,692.605469,2858.151855,2165.546387
sequence_09_bandage_1_split_01,690.906494,690.906372,-0.000122,758.681946,67.775452,676.632996,-14.273499,706.935425,2932.951904,2226.016479,706.935486,2932.95459,2226.019104
sequence_09_bandage_1_split_02,546.344116,546.343994,-0.000122,603.018616,56.6745,534.356079,-11.988037,559.332153,2852.144775,2292.812622,559.332214,2852.145264,2292.813049
sequence_12_cave_4_split_00,1181.232666,1181.232544,-0.000122,1188.99939,7.766724,1187.458496,6.22583,1190.205811,2176.816406,986.610596,1190.205688,2176.816406,986.610718
sequence_13_market_2_split_00,679.790161,679.790344,0.000183,693.281677,13.491516,694.556091,14.76593,678.203369,2591.206055,1913.002686,678.203369,2591.207764,1913.004395
sequence_13_market_2_split_01,445.069122,445.069214,9.2e-05,459.549408,14.480286,453.804565,8.735443,446.220459,2467.218994,2020.998535,446.22049,2467.217285,2020.996796
sequence_13_market_2_split_02,208.059906,208.059875,-3.1e-05,209.112823,1.052917,212.117859,4.057953,230.71965,2601.573486,2370.853836,230.719589,2601.573486,2370.853897
sequence_16_mountain_1_split_00,183.499512,183.499557,4.6e-05,162.17012,-21.329391,237.277939,53.778427,184.673782,4566.081543,4381.407761,184.673798,4566.084961,4381.411163
sequence_16_mountain_1_split_01,101.542351,101.542274,-7.6e-05,102.952751,1.4104,157.141418,55.599068,121.173431,4551.54834,4430.374908,121.173439,4551.546875,4430.373436
sequence_16_mountain_1_split_02,201.825821,201.825806,-1.5e-05,235.002777,33.176956,203.346512,1.520691,210.539032,3964.661377,3754.122345,210.539017,3964.663086,3754.124069
AGGREGATE_hook,1148.8074293136597,1148.8074860572815,5.6743621826171875e-05,1162.789032459259,13.981603145599365,1158.8270206451416,10.019591331481934,1144.636218547821,3173.6404418945312,2029.0042233467102,1144.63622713089,3173.6400451660156,2029.0038180351257
