item,L_A,A_self_splice,A_self_delta,A_from_B,A_from_B_delta,calib_mean_delta,calib_min_delta,calib_max_delta,calib_mean_abs_delta,calib16_mean_delta,calib16_min_delta,calib16_max_delta,calib16_mean_abs_delta,minus_v_delta,plus_2v_delta,L_B,B_from_A_delta
sequence_02_ambush_2_split_00,4048.845215,4048.845215,0.0,4077.572754,28.728271,inf,-29.362549,inf,inf,52.869614,-29.362549,119.008545,56.539932,113.801514,82.177979,3935.176758,91.884766
sequence_02_ambush_2_split_01,4363.814941,4363.814941,0.0,4419.698242,55.883789,inf,3.756836,inf,inf,65.799622,3.756836,107.17627,65.799622,108.834473,93.757812,4312.634277,-166.333496
sequence_02_ambush_2_split_02,4764.621094,4764.621094,0.0,4844.147461,79.526367,inf,-8.574707,inf,inf,69.862701,-8.574707,105.507324,70.93454,105.724609,103.615234,4714.100098,-115.587891
sequence_07_bamboo_1_split_00,93.364937,93.364899,0.0,84.19693,-9.167969,inf,-10.480316,inf,inf,6.785356,-10.480316,73.100563,17.470994,-6.040962,-8.492676,105.062828,2060.928627
sequence_07_bamboo_1_split_01,79.386452,79.386444,4.6e-05,60.988602,-18.397842,inf,-19.543613,inf,inf,4.499672,-19.543613,92.346436,24.597955,-7.210838,-14.09243,103.010323,1973.283623
sequence_07_bamboo_1_split_02,104.898224,104.898216,1.5e-05,88.139572,-16.758598,inf,-17.670082,inf,inf,4.810134,-17.670082,91.889206,22.909989,-3.196556,-11.658234,123.587646,2078.13623
sequence_09_bandage_1_split_00,687.71875,687.718872,0.000122,794.143555,106.424927,inf,-71.532898,inf,inf,84.888222,-71.532898,133.33313,102.140297,123.300171,118.480347,692.605408,2165.545471
sequence_09_bandage_1_split_01,690.90625,690.906494,0.000122,809.156433,118.249939,inf,-57.588928,inf,inf,95.924862,-57.588928,148.713257,109.993084,135.115784,131.590149,706.935303,2226.018799
sequence_09_bandage_1_split_02,546.344116,546.344116,6.1e-05,660.657715,114.313599,inf,-29.832642,inf,inf,96.247612,-29.832642,148.14386,103.564583,132.666016,130.842041,559.332214,2292.813293
sequence_12_cave_4_split_00,1181.232666,1181.232544,0.0,1199.113892,17.881226,inf,-2.613892,inf,inf,15.338203,-2.613892,23.749146,15.94294,21.503052,20.754272,1190.205688,986.610962
sequence_13_market_2_split_00,679.790222,679.790161,-0.000122,726.5849,46.794739,inf,4.717529,inf,inf,46.45694,4.717529,73.85083,46.45694,60.359314,57.8526,678.203247,1913.004028
sequence_13_market_2_split_01,445.069122,445.069122,0.0,476.626709,31.557587,inf,9.859192,inf,inf,31.494917,9.859192,50.476074,31.494917,37.333954,34.711487,446.22049,2020.997284
sequence_13_market_2_split_02,208.059814,208.059875,-4.6e-05,220.001144,11.941269,inf,0.00415,inf,inf,19.995288,0.00415,44.360779,19.995288,18.578995,16.287369,230.71965,2370.855057
sequence_16_mountain_1_split_00,183.499496,183.499512,1.5e-05,160.709351,-22.790161,inf,-24.949249,inf,inf,9.542452,-24.949249,88.926025,28.68989,7.256424,-9.574158,184.673782,4381.406296
sequence_16_mountain_1_split_01,101.542366,101.542442,9.9e-05,119.918671,18.37632,inf,1.151375,inf,inf,48.792387,1.151375,121.328613,48.792387,55.099518,39.05542,121.17347,4430.372429
sequence_16_mountain_1_split_02,201.825821,201.825867,4.6e-05,256.541992,54.716125,inf,-26.846619,inf,inf,57.711515,-26.846619,108.265671,64.363718,82.489273,70.481888,210.539001,3754.125549
AGGREGATE_hook,1148.807409286499,1148.8074612617493,1.3828277587890625e-05,1187.3873553276062,38.57994604110718,inf,10.704183101654053,inf,inf,44.43875405192375,10.704183101654053,69.54515409469604,44.43875405192375,61.60095930099487,53.48686075210571,1144.636239528656,2029.0038361549377
