iteration,val_loss_A,val_loss_B
0,1212.5556,1212.5592
12,1212.2575,1211.8746
3612,1206.3210,1208.0228
7212,1206.1248,1206.3706
10812,1205.7025,1206.7138
14412,1206.0824,1206.7620
18012,1205.9267,1206.3075
21612,1199.3854,1205.1803
25212,1192.7493,1205.9782
28812,1184.2532,1200.7650
32412,1175.8663,1199.5604
36012,1170.1614,1196.1473
39612,1170.5515,1196.9538
43212,1170.5394,1193.0629
46812,1163.0753,1183.0116
50412,1166.7279,1175.8456
54012,1165.3890,1178.6471
57612,1163.9735,1168.6929
61212,1157.2235,1165.1369
64812,1163.9785,1149.7257
68412,1168.6454,1156.3343
72012,1156.2146,1168.7742
75612,1153.7558,1157.9509
79212,1155.2570,1147.7080
82812,1143.5370,1153.2110
86412,1155.3520,1154.2440
90012,1150.2037,1147.5056
93612,1146.0899,1156.8112
97212,1166.0588,1139.1152
100812,1159.3972,1149.9595
104412,1149.9424,1149.5918
108012,1152.2472,1149.0315
111612,1145.2592,1153.7517
115212,1162.6179,1141.7914
118812,1159.1506,1148.1022
122412,1149.5846,1144.9998
126012,1157.3147,1149.9144
129612,1155.5432,1152.9115
133212,1153.2944,1145.8231
136812,1155.7976,1142.9586
140412,1170.6714,1146.4059
144012,1154.2528,1149.9946
147612,1150.4220,1143.3270
151212,1152.8307,1144.9134
154812,1159.6491,1156.1772
158412,1148.1151,1148.1535
162012,1159.5074,1137.8219
165612,1168.3797,1152.2316
169212,1149.1648,1156.9998
172812,1154.8277,1139.5149
176412,1147.5207,1148.1521
180012,1148.9453,1156.9476
183612,1146.5118,1147.0188
187212,1150.2214,1149.0120
190812,1167.6187,1147.2483
194412,1153.1420,1152.4356
198012,1149.6872,1145.2095
201612,1147.5358,1150.5090
205212,1148.8634,1145.6015
208812,1149.8740,1150.0096
212412,1156.6829,1144.7976
216012,1152.8448,1154.1877
219612,1141.0463,1144.7344
223212,1153.7354,1151.4877
226812,1150.9120,1146.3343
230412,1148.4920,1147.0198
234012,1145.9390,1145.3685
237612,1146.7684,1146.1783
241212,1150.2581,1148.0285
244812,1147.7892,1143.3601
248412,1153.3329,1148.6122
250008,1148.8075,1147.7179
