iteration,val_loss_A,val_loss_B
0,1212.5556,1212.5497
12,1212.2574,1211.7932
3612,1206.3057,1206.8111
7212,1206.1166,1207.4158
10812,1205.6864,1206.1364
14412,1206.0104,1206.4309
18012,1205.8643,1204.2230
21612,1200.0605,1201.7641
25212,1192.8249,1187.1360
28812,1183.6375,1182.3103
32412,1178.3090,1173.1151
36012,1170.5986,1180.7562
39612,1172.1209,1177.6193
43212,1171.6974,1188.7442
46812,1165.0034,1177.9724
50412,1165.7000,1182.3089
54012,1168.5220,1178.8657
57612,1165.8661,1170.8438
61212,1163.6425,1172.7128
64812,1165.2621,1171.4413
68412,1175.2381,1173.6945
72012,1165.7804,1174.2891
75612,1158.3737,1172.0935
79212,1161.6555,1186.6132
82812,1156.0002,1173.6684
86412,1161.0802,1167.4142
90012,1162.7695,1174.8151
93612,1158.1070,1178.7145
97212,1165.5258,1174.9573
100812,1165.9084,1174.2219
104412,1165.0306,1179.2206
108012,1165.1910,1166.1420
111612,1158.2587,1169.4737
115212,1167.6306,1177.8473
118812,1160.2479,1191.0984
122412,1157.1583,1177.2481
126012,1163.2417,1172.0775
129612,1160.7915,1169.4905
133212,1164.9485,1170.9121
136812,1165.1465,1171.7410
140412,1167.6292,1171.6224
144012,1166.6949,1166.6719
147612,1160.9485,1169.2592
151212,1165.0776,1176.7531
154812,1164.1412,1173.4061
158412,1160.1366,1170.5529
162012,1170.9093,1178.0680
165612,1172.0600,1177.2763
169212,1160.9524,1171.5277
172812,1165.7929,1169.5336
176412,1164.6906,1164.9236
180012,1161.0158,1168.1160
183612,1163.1875,1170.1282
187212,1167.1313,1165.8262
190812,1172.5036,1167.5396
194412,1163.9779,1169.7524
198012,1163.5246,1165.1895
201612,1162.2340,1171.1885
205212,1163.2771,1170.4310
208812,1163.9772,1165.5687
212412,1168.5996,1164.9207
216012,1164.6138,1162.0309
219612,1158.8616,1163.0354
223212,1165.0799,1163.0894
226812,1163.2940,1166.5121
230412,1161.3785,1165.8363
234012,1162.5076,1164.2868
237612,1163.5597,1163.1084
241212,1163.7693,1165.1503
244812,1163.0918,1163.0639
248412,1165.2531,1161.6192
250008,1160.9823,1163.3766
