iteration,val_loss_A,val_loss_B
0,1212.5497,1212.5497
12,1211.7933,1211.7932
3612,1206.8331,1206.8111
7212,1207.4437,1207.4158
10812,1206.1021,1206.1364
14412,1206.2946,1206.4309
18012,1204.1880,1204.2230
21612,1201.7573,1201.7641
25212,1190.0517,1187.1360
28812,1184.5230,1182.3103
32412,1174.2851,1173.1151
36012,1179.1252,1180.7562
39612,1174.0103,1177.6193
43212,1179.8168,1188.7442
46812,1168.8909,1177.9724
50412,1179.0335,1182.3089
54012,1171.3346,1178.8657
57612,1164.6277,1170.8438
61212,1174.0634,1172.7128
64812,1165.9828,1171.4413
68412,1174.3908,1173.6945
72012,1178.1888,1174.2891
75612,1166.0802,1172.0935
79212,1174.6413,1186.6132
82812,1164.9092,1173.6684
86412,1169.4652,1167.4142
90012,1171.1677,1174.8151
93612,1175.2162,1178.7145
97212,1173.9763,1174.9573
100812,1168.6564,1174.2219
104412,1172.8285,1179.2206
108012,1163.5787,1166.1420
111612,1161.7089,1169.4737
115212,1170.3667,1177.8473
118812,1174.6678,1191.0984
122412,1170.5868,1177.2481
126012,1167.1255,1172.0775
129612,1167.4171,1169.4905
133212,1168.2857,1170.9121
136812,1176.3770,1171.7410
140412,1163.0901,1171.6224
144012,1163.1483,1166.6719
147612,1161.3737,1169.2592
151212,1165.2208,1176.7531
154812,1165.6917,1173.4061
158412,1167.5395,1170.5529
162012,1181.6246,1178.0680
165612,1166.1481,1177.2763
169212,1171.6817,1171.5277
172812,1166.0327,1169.5336
176412,1158.8479,1164.9236
180012,1166.3808,1168.1160
183612,1169.6822,1170.1282
187212,1161.4556,1165.8262
190812,1162.5909,1167.5396
194412,1161.2928,1169.7524
198012,1152.6912,1165.1895
201612,1163.2382,1171.1885
205212,1162.3037,1170.4310
208812,1158.1978,1165.5687
212412,1160.7131,1164.9207
216012,1153.3346,1162.0309
219612,1157.4240,1163.0354
223212,1152.8706,1163.0894
226812,1155.5818,1166.5121
230412,1155.2349,1165.8363
234012,1156.2054,1164.2868
237612,1150.9345,1163.1084
241212,1153.4507,1165.1503
244812,1152.9011,1163.0639
248412,1153.6783,1161.6192
250008,1155.7706,1163.3766
