run_a_netdir,run_a_label,run_a_individual,run_b_netdir,run_b_label,run_b_individual,pair_kind,chkpt_index,chkpt_iter,side_of_150000,quantity,distance_form,distance,is_nearest_foreign_for_twin_with_3ppp,is_nearest_foreign_for_twin_without_3ppp,nearest_foreign_distance_with_3ppp,ratio_nf_over_twin_with_3ppp,nearest_foreign_distance_without_3ppp,ratio_nf_over_twin_without_3ppp
9991/000,seed0,0,9991/900,seed0prime,0,twin,0,-1,before,mean_by_type,euclid,0.0,,,0.48927144537463124,inf,0.48927144537463124,inf
9991/000,seed0,0,9992/000,seed0primeprime,0,twin,0,-1,before,mean_by_type,euclid,0.0,,,0.48927144537463124,inf,0.48927144537463124,inf
9991/000,seed0,0,9991/001,seed1,1,foreign,0,-1,before,mean_by_type,euclid,0.5712178217412894,,,,,,
9991/000,seed0,0,9991/002,seed2,2,foreign,0,-1,before,mean_by_type,euclid,0.5377106341813009,,,,,,
9991/000,seed0,0,9991/003,seed3,3,foreign,0,-1,before,mean_by_type,euclid,0.48927144537463124,"0~0';0~0"";3~3';3~3'''","0~0';0~0"";3~3'",,,,
9991/000,seed0,0,9991/903,seed3prime,3,foreign,0,-1,before,mean_by_type,euclid,0.48927144537463124,3'~3''',,,,,
9991/000,seed0,0,9992/003,seed3primeprimeprime,3,foreign,0,-1,before,mean_by_type,euclid,0.48927144537463124,,,,,,
9991/000,seed0,0,9991/004,seed4,4,foreign,0,-1,before,mean_by_type,euclid,0.6239872635247534,,,,,,
9991/000,seed0,0,9991/005,seed5,5,foreign,0,-1,before,mean_by_type,euclid,0.5381386843747694,,,,,,
9991/900,seed0prime,0,9992/000,seed0primeprime,0,twin,0,-1,before,mean_by_type,euclid,0.0,,,0.48927144537463124,inf,0.48927144537463124,inf
9991/900,seed0prime,0,9991/001,seed1,1,foreign,0,-1,before,mean_by_type,euclid,0.5712178217412894,,,,,,
9991/900,seed0prime,0,9991/002,seed2,2,foreign,0,-1,before,mean_by_type,euclid,0.5377106341813009,,,,,,
9991/900,seed0prime,0,9991/003,seed3,3,foreign,0,-1,before,mean_by_type,euclid,0.48927144537463124,"0'~0""","0'~0""",,,,
9991/900,seed0prime,0,9991/903,seed3prime,3,foreign,0,-1,before,mean_by_type,euclid,0.48927144537463124,,,,,,
9991/900,seed0prime,0,9992/003,seed3primeprimeprime,3,foreign,0,-1,before,mean_by_type,euclid,0.48927144537463124,,,,,,
9991/900,seed0prime,0,9991/004,seed4,4,foreign,0,-1,before,mean_by_type,euclid,0.6239872635247534,,,,,,
9991/900,seed0prime,0,9991/005,seed5,5,foreign,0,-1,before,mean_by_type,euclid,0.5381386843747694,,,,,,
9992/000,seed0primeprime,0,9991/001,seed1,1,foreign,0,-1,before,mean_by_type,euclid,0.5712178217412894,,,,,,
9992/000,seed0primeprime,0,9991/002,seed2,2,foreign,0,-1,before,mean_by_type,euclid,0.5377106341813009,,,,,,
9992/000,seed0primeprime,0,9991/003,seed3,3,foreign,0,-1,before,mean_by_type,euclid,0.48927144537463124,,,,,,
9992/000,seed0primeprime,0,9991/903,seed3prime,3,foreign,0,-1,before,mean_by_type,euclid,0.48927144537463124,,,,,,
9992/000,seed0primeprime,0,9992/003,seed3primeprimeprime,3,foreign,0,-1,before,mean_by_type,euclid,0.48927144537463124,,,,,,
9992/000,seed0primeprime,0,9991/004,seed4,4,foreign,0,-1,before,mean_by_type,euclid,0.6239872635247534,,,,,,
9992/000,seed0primeprime,0,9991/005,seed5,5,foreign,0,-1,before,mean_by_type,euclid,0.5381386843747694,,,,,,
9991/001,seed1,1,9991/002,seed2,2,foreign,0,-1,before,mean_by_type,euclid,0.6164815425220789,,,,,,
9991/001,seed1,1,9991/003,seed3,3,foreign,0,-1,before,mean_by_type,euclid,0.6657274337931126,,,,,,
9991/001,seed1,1,9991/903,seed3prime,3,foreign,0,-1,before,mean_by_type,euclid,0.6657274337931126,,,,,,
9991/001,seed1,1,9992/003,seed3primeprimeprime,3,foreign,0,-1,before,mean_by_type,euclid,0.6657274337931126,,,,,,
9991/001,seed1,1,9991/004,seed4,4,foreign,0,-1,before,mean_by_type,euclid,0.6499924777760138,,,,,,
9991/001,seed1,1,9991/005,seed5,5,foreign,0,-1,before,mean_by_type,euclid,0.5432966528433956,,,,,,
9991/002,seed2,2,9991/003,seed3,3,foreign,0,-1,before,mean_by_type,euclid,0.5269464819200941,,,,,,
9991/002,seed2,2,9991/903,seed3prime,3,foreign,0,-1,before,mean_by_type,euclid,0.5269464819200941,,,,,,
9991/002,seed2,2,9992/003,seed3primeprimeprime,3,foreign,0,-1,before,mean_by_type,euclid,0.5269464819200941,,,,,,
9991/002,seed2,2,9991/004,seed4,4,foreign,0,-1,before,mean_by_type,euclid,0.6157224658571157,,,,,,
9991/002,seed2,2,9991/005,seed5,5,foreign,0,-1,before,mean_by_type,euclid,0.5220394005351872,,,,,,
9991/003,seed3,3,9991/903,seed3prime,3,twin,0,-1,before,mean_by_type,euclid,0.0,,,0.48927144537463124,inf,0.48927144537463124,inf
9991/003,seed3,3,9992/003,seed3primeprimeprime,3,twin,0,-1,before,mean_by_type,euclid,0.0,,,0.48927144537463124,inf,,
9991/003,seed3,3,9991/004,seed4,4,foreign,0,-1,before,mean_by_type,euclid,0.6267625059689139,,,,,,
